currency,unit,name,explanation,value,platform,geography_year,variable_class,reliability,source
users,ad audience,facebook_ad_reach_global_2025,"Facebook advertising reach worldwide. This is an advertising audience estimate, not the same as monthly active users.",2280000000.0,Facebook,Global / January 2025,raw,exploratory,https://datareportal.com/essential-facebook-stats
users,ad audience,facebook_ad_reach_us_2025,Facebook advertising reach in the United States. This is an advertising audience estimate and not the same as active-user counts.,197000000.0,Facebook,United States / early 2025,raw,exploratory,https://datareportal.com/reports/digital-2025-united-states-of-america
users,MAU,facebook_mau_global_2025,Facebook monthly active users (MAU = monthly active users) worldwide.,3070000000.0,Facebook,Global / 2025,raw,exploratory,https://backlinko.com/facebook-users
minutes,per user-day,facebook_time_spent_daily_us_2025,"Average daily time spent on Facebook by users in the United States, as relayed by a secondary source citing eMarketer.",31.0,Facebook,United States / 2025,raw,exploratory,https://explodingtopics.com/blog/social-media-usage
users,DAP,meta_family_dap_2025_proxy,"Family daily active people (DAP = daily active people) for Meta in December 2025. This is not Facebook-only and should be interpreted as ecosystem scale, not Facebook platform scale.",3580000000.0,Facebook,Global / December 2025,raw,exploratory,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx
users,DAU,snap_dau_q4_2025,Snap global daily active users (DAU = daily active users) in the fourth quarter of 2025.,474000000.0,Snapchat,Global / Q4 2025,raw,reliable,https://www.sec.gov/Archives/edgar/data/1564408/000156440826000013/snap-20251231.htm
users,MAU,snap_mau_q4_2025,Snap global monthly active users (MAU = monthly active users) in the fourth quarter of 2025.,946000000.0,Snapchat,Global / Q4 2025,raw,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
users,ad audience,snapchat_ad_reach_global_2025,Snapchat global advertising reach. This is an advertising audience estimate and not the same as monthly active users.,709000000.0,Snapchat,Global / January 2025,raw,exploratory,https://datareportal.com/essential-snapchat-stats
users,ad audience,snapchat_ad_reach_us_2025,Snapchat advertising reach in the United States. This is an advertising audience estimate and not the same as active-user counts.,106000000.0,Snapchat,United States / early 2025,raw,exploratory,https://datareportal.com/reports/digital-2025-united-states-of-america
users,subscribers,snapchat_plus_subscribers_q4_2025,Snapchat+ subscribers in the fourth quarter of 2025.,24000000.0,Snapchat,Global / Q4 2025,raw,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
minutes,per user-day,snapchat_time_spent_daily_global_2025,"Average daily time spent on Snapchat by users aged 18 and above globally, relayed by a secondary source.",30.0,Snapchat,Global / 2025,raw,exploratory,https://www.blankspaces.app/blog/snapchat-screen-time-statistics
users,ad audience,tiktok_ad_reach_global_2025,TikTok global advertising reach. This is an advertising audience estimate and not the same as total global active users.,1590000000.0,TikTok,Global / January 2025,raw,exploratory,https://datareportal.com/essential-tiktok-stats
users,ad audience 18+,tiktok_ad_reach_us_adults_2025,TikTok advertising reach for adults aged 18 and above in the United States. TikTok's public ad tools report adults rather than all users in this source.,136000000.0,TikTok,United States / early 2025,raw,exploratory,https://datareportal.com/reports/digital-2025-united-states-of-america
users,businesses,tiktok_businesses_us_2026,United States businesses referenced in TikTok's January 2026 announcement.,7500000.0,TikTok,United States / January 2026,raw,reliable,https://newsroom.tiktok.com/announcement-from-the-new-tiktok-usds-joint-venture-llc?lang=en
minutes,per user-day,tiktok_time_spent_daily_us_2025,Average daily time spent on TikTok by users in the United States according to an eMarketer forecast.,52.0,TikTok,United States / 2025 forecast,raw,exploratory,https://www.emarketer.com/content/us-tiktok-usage-time-spent-2025
users,monthly users,tiktok_users_europe_2025,TikTok monthly active recipients in Europe. The company defines this using its Digital Services Act reporting framework.,200000000.0,TikTok,Europe / September 2025,raw,reliable,https://newsroom.tiktok.com/en-eu/tiktok-community-in-europe-tops-200-million
users,users,tiktok_users_us_2026,Users in the United States referenced in TikTok's January 2026 announcement.,200000000.0,TikTok,United States / January 2026,raw,reliable,https://newsroom.tiktok.com/announcement-from-the-new-tiktok-usds-joint-venture-llc?lang=en
users,ad audience,x_ad_reach_global_2025,X global advertising reach. This is an advertising audience estimate and not the same as monthly active users.,586000000.0,X/Twitter,Global / January 2025,raw,exploratory,https://datareportal.com/essential-x-stats
users,ad audience,x_ad_reach_us_2025,X advertising reach in the United States. This is an advertising audience estimate and not the same as active-user counts.,104000000.0,X/Twitter,United States / early 2025,raw,exploratory,https://datareportal.com/reports/digital-2025-united-states-of-america
minutes,per user-day,x_time_spent_daily_us_2025,"Average daily time spent on X by adults aged 18 and above in the United States, relayed by a secondary source citing eMarketer.",34.1,X/Twitter,United States / 2025,raw,exploratory,https://www.blankspaces.app/blog/twitter-x-screen-time-stats-2026
users,active users,youtube_active_users_global_2025,Estimated YouTube active users worldwide.,2580000000.0,YouTube,Global / October 2025,raw,exploratory,https://backlinko.com/youtube-users
users,ad audience,youtube_ad_reach_global_2025,"YouTube global advertising reach. This is an advertising audience estimate, not the same as monthly active users.",2530000000.0,YouTube,Global / January 2025,raw,exploratory,https://datareportal.com/essential-youtube-stats
users,ad audience,youtube_ad_reach_us_2025,YouTube advertising reach in the United States. This is an advertising audience estimate and not the same as monthly active users.,253000000.0,YouTube,United States / early 2025,raw,exploratory,https://datareportal.com/reports/digital-2025-united-states-of-america
minutes,per user-day,youtube_time_spent_daily_uk_2025,"Average daily time spent watching YouTube in the United Kingdom on smartphones, tablets, and personal computers, according to Ofcom as reported by Reuters.",51.0,YouTube,United Kingdom / 2025,raw,reliable,https://www.reuters.com/business/media-telecom/britons-watch-youtube-51-minutes-day-regulator-ofcom-says-2025-12-10/
