currency,unit,name,explanation,value,platform,geography_year,variable_class,reliability,source
USD,per ad-reachable user-year,facebook_proxy_revenue_per_global_ad_reachable_user_year,"Meta 2025 advertising revenue divided by Facebook global advertising reach. This is a monetization proxy, not true Facebook-only revenue per user.",86.04,Facebook,Global / 2025 proxy,derived,exploratory,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx; https://datareportal.com/essential-facebook-stats
USD,annual advertising revenue,meta_ad_revenue_2025_proxy_for_facebook,Meta generally accepted accounting principles (GAAP = generally accepted accounting principles) advertising revenue for 2025. This covers Meta's advertising business across products and is used here only as a proxy for Facebook-level monetization.,196175000000.0,Facebook,Global / 2025,raw,exploratory,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx
USD,annual ARPP,meta_family_apps_arpp_2025_proxy,"Average revenue per person (ARPP = average revenue per person) for Meta's Family of Apps in 2025. This includes Facebook, Instagram, Messenger, WhatsApp, and other services, so it is a proxy rather than a Facebook-only value.",57.03,Facebook,Global / 2025,raw,exploratory,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm
USD,annual revenue,meta_total_revenue_2025_proxy_for_facebook,"Meta total revenue for 2025. This is a broad ecosystem proxy and is not Facebook-only, so it should not be treated as platform-specific Facebook revenue.",200966000000.0,Facebook,Global / 2025,raw,exploratory,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx
USD,per daily active user-year,snap_revenue_per_dau_year_2025,Snap total revenue divided by Snap daily active users.,12.51,Snapchat,Global / 2025,derived,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf; https://www.sec.gov/Archives/edgar/data/1564408/000156440826000013/snap-20251231.htm
USD,per monthly active user-year,snap_revenue_per_mau_year_2025,Snap total revenue divided by Snap monthly active users.,6.27,Snapchat,Global / 2025,derived,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
USD,quarterly advertising revenue,snap_ad_revenue_q4_2025,Snap advertising revenue in the fourth quarter of 2025.,1480000000.0,Snapchat,Global / Q4 2025,raw,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
USD,ARPU,snap_arpu_q4_2025,Average revenue per user (ARPU = average revenue per user) for Snap in the fourth quarter of 2025.,3.62,Snapchat,Global / Q4 2025,raw,reliable,https://www.sec.gov/Archives/edgar/data/1564408/000156440826000013/snap-20251231.htm
USD,quarterly revenue,snap_q4_revenue_2025,Snap total revenue in the fourth quarter of 2025.,1720000000.0,Snapchat,Global / Q4 2025,raw,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
USD,annual revenue,snap_total_revenue_2025,Snap total revenue for 2025.,5930000000.0,Snapchat,Global / 2025,raw,reliable,https://s25.q4cdn.com/442043304/files/doc_financials/2025/q4/Snap-Inc-Q4-2025-Investor-Letter.pdf
USD,per ad-reachable user-year forecast,tiktok_global_ad_revenue_per_global_ad_reachable_user_year,Forecast TikTok global advertising revenue divided by TikTok global advertising reach.,20.38,TikTok,Global / 2025 forecast,derived,exploratory,https://searchengineland.com/tiktok-global-ad-revenue-forecast-2025-454951; https://datareportal.com/essential-tiktok-stats
USD,per ad-reachable user-year forecast,tiktok_us_ad_revenue_per_us_ad_reachable_adult_user_year,Forecast United States TikTok advertising revenue divided by TikTok's United States adult advertising reach.,82.35,TikTok,United States / 2025 forecast,derived,exploratory,https://www.marketingdive.com/news/tiktok-us-ad-revenue-emarketer-ban/741025/; https://datareportal.com/reports/digital-2025-united-states-of-america
USD,annual advertising revenue forecast,tiktok_global_ad_revenue_forecast_2025,Forecast global TikTok advertising revenue for 2025. This is a forecast rather than a company-reported result.,32400000000.0,TikTok,Global / 2025 forecast,raw,exploratory,https://searchengineland.com/tiktok-global-ad-revenue-forecast-2025-454951
