subject,unit,name,explanation,value,platform,geography_year,variable_class,reliability,source
users,MAU,mau_global_official,Official Instagram monthly active users (MAU = monthly active users).,2000000000,Instagram,Global / figure reported on 2026 page,raw,exploratory,https://backlinko.com/instagram-users
users,ad audience,ad_audience_us,Instagram advertising audience in the United States used for ad reach comparisons.,179900000,Instagram,United States / 2025,raw,exploratory,https://backlinko.com/instagram-users
users,active users,active_users_us_est,Estimated active Instagram users in the United States.,143200000,Instagram,United States / latest estimate cited on 2026 page,raw,exploratory,https://backlinko.com/instagram-users
minutes,per user-day,time_spent_daily_backlinko,Average daily time spent on Instagram.,33.9,Instagram,Global / 2026 page,raw,exploratory,https://backlinko.com/instagram-users
minutes,per user-day,time_spent_daily_sprout,Average daily time spent on Instagram.,73,Instagram,Global / 2026 page,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
users,reachable users,ad_reach_global,Estimated global advertising reach on Instagram.,1910000000,Instagram,Global / 2026,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
opens,per user-day,app_opens_daily,Typical Instagram user opens the application 12 or more times per day.,12,Instagram,Global / 2026 page,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
percent,share,reels_ad_placements_share,Share of Instagram advertising placements that ran on Reels in fourth quarter (Q4 = fourth quarter) 2025.,53,Instagram,Q4 2025,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
percent,share,brand_interaction_multiple_times_weekly,Consumers who interact with brand content on Instagram multiple times per week.,60,Instagram,Not specified / 2026 page,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
percent,share,purchase_rate_on_instagram,Instagram users who make purchases on the platform.,29,Instagram,2025,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
percent,ROI uplift,influencer_reels_roi_boost,Claimed return on investment (ROI = return on investment) uplift for brands collaborating with influencers on Reels.,30,Instagram,Not specified / 2025 page,raw,exploratory,https://www.measure.studio/post/instagram-statistics
users,per month,shopping_post_clickers_monthly,Users clicking shopping posts each month.,130000000,Instagram,Global / 2025 page,raw,exploratory,https://www.measure.studio/post/instagram-statistics
users,global users,social_media_users_global_2023,Estimated worldwide social media users across all platforms.,4900000000,Social media overall,Global / 2023,raw,reliable,https://health.ucdavis.edu/blog/cultivating-health/social-medias-impact-our-mental-health-and-tips-to-use-it-safely/2024/05
minutes,per user-day,social_media_time_global_daily,Average daily time spent on social media across all platforms.,145,Social media overall,Global / 2023,raw,reliable,https://health.ucdavis.edu/blog/cultivating-health/social-medias-impact-our-mental-health-and-tips-to-use-it-safely/2024/05
percent,share,social_media_use_us_adults,United States adults who use social media.,69,Social media overall,United States / 2025 page,raw,reliable,https://www.mcleanhospital.org/essential/social-media
percent,share,social_media_use_teens,Teens who use social media.,81,Social media overall,United States / 2025 page,raw,reliable,https://www.mcleanhospital.org/essential/social-media
percent,share,online_harassment_us_internet_users,United States internet users reporting online harassment.,44,Social media overall,"United States / 2020, cited in 2024 page",raw,reliable,https://health.ucdavis.edu/blog/cultivating-health/social-medias-impact-our-mental-health-and-tips-to-use-it-safely/2024/05
minutes,per platform-day,experimental_limit_per_platform,"Experimental limit in a study: Facebook, Instagram, and Snapchat were each capped at 10 minutes per day.",10,Social media overall,United States study cited on 2025 page,raw,reliable,https://www.mcleanhospital.org/essential/social-media
score,0-10 scale,cantril_ladder_scale,"Cantril Ladder life-evaluation scale used by the World Happiness Report, where respondents rate life from 0 to 10.",0-10,Wellbeing metric,Global,raw,reliable,https://www.worldhappiness.report/faq/
variables,count,whr_core_predictors,"World Happiness Report (WHR = World Happiness Report) explanatory variables: having someone to count on, log gross domestic product (GDP) per capita, healthy life expectancy, freedom to make life choices, generosity, and freedom from corruption.",6,Wellbeing metric,Global,raw,reliable,https://www.worldhappiness.report/faq/
coefficient,regression coefficient,whr_log_gdp_per_capita_coeff,Pooled ordinary least squares (OLS = ordinary least squares) regression coefficient for log gross domestic product (GDP) per capita in the World Happiness Report 2022 model.,0.36,Wellbeing metric,Global / WHR 2022,raw,reliable,https://files.worldhappiness.report/WHR22.pdf
coefficient,regression coefficient,whr_social_support_coeff,Pooled ordinary least squares (OLS = ordinary least squares) regression coefficient for social support in the World Happiness Report 2022 model.,2.42,Wellbeing metric,Global / WHR 2022,raw,reliable,https://files.worldhappiness.report/WHR22.pdf
percent,share,young_adults_no_social_support_2023,Young adults reporting that they had no one they could count on for social support in 2023.,19,Social connection,Global / 2023,raw,reliable,https://www.worldhappiness.report/ed/2025/connecting-with-others-how-social-connections-improve-the-happiness-of-young-adults/
percent,change since 2006,increase_no_social_support_since_2006,"Increase in young adults reporting no one they could count on for social support, relative to 2006.",39,Social connection,Global / 2006-2023,raw,reliable,https://www.worldhappiness.report/ed/2025/connecting-with-others-how-social-connections-improve-the-happiness-of-young-adults/
percent,share,higher_satisfaction_with_close_contact,Young adults with at least one close person were this much more satisfied with life than those with no close contacts.,16,Social connection,Cross-country / 2022-2023 dataset,raw,reliable,https://www.worldhappiness.report/ed/2025/connecting-with-others-how-social-connections-improve-the-happiness-of-young-adults/
coefficient,satisfaction points,life_satisfaction_gain_per_support_point,Association showing that a one-point increase in perceived social support is linked to a 0.29-point increase in life satisfaction.,0.29,Social connection,Cross-country / 2022-2023 dataset,raw,reliable,https://www.worldhappiness.report/ed/2025/connecting-with-others-how-social-connections-improve-the-happiness-of-young-adults/
