currency,unit,name,explanation,value,platform,geography_year,variable_class,reliability,source
USD,total,acquisition_price_2012,Facebook paid this amount to acquire Instagram in 2012.,1000000000,Instagram,Global / 2012,raw,exploratory,https://backlinko.com/instagram-users
USD,total,valuation_feb_2011,Instagram valuation after reaching 1 million monthly active users (MAU = monthly active users).,25000000,Instagram,Global / 2011,raw,exploratory,https://backlinko.com/instagram-users
USD,annual revenue,us_ad_revenue_2026,Projected annual Instagram advertising revenue in the United States.,42520000000,Instagram,United States / 2026,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
USD,CPC,avg_cpc_feed_ad,Average cost per click (CPC) for an Instagram feed advertisement.,3.35,Instagram,Not specified / cited on 2026 page,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
USD,CPC,avg_cpc_story_ad,Average cost per click (CPC) for an Instagram Story advertisement.,1.83,Instagram,Not specified / cited on 2026 page,raw,exploratory,https://sproutsocial.com/insights/instagram-stats/
USD,total sales,instagram_shopping_gmv,Estimated gross merchandise value (GMV = total value of goods sold) attributed to Instagram Shopping.,40000000000,Instagram,Global / 2025 page,raw,exploratory,https://www.measure.studio/post/instagram-statistics
USD,per MAU,acquisition_cost_per_mau_2012,Facebook acquisition price divided by roughly 30 million monthly active users (MAU = monthly active users) at the time of acquisition.,33.33,Instagram,Global / 2012,derived,exploratory,https://backlinko.com/instagram-users
USD,per user-year,revenue_per_us_ad_user_year,"Projected United States Instagram advertising revenue divided by United States Instagram ad audience, producing revenue per monetizable user per year.",236.35,Instagram,United States / 2026,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per user-month,revenue_per_us_ad_user_month,"Projected United States Instagram advertising revenue per monetizable user per month, derived from annual revenue per ad-reachable user.",19.7,Instagram,United States / 2026,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per user-day,revenue_per_us_ad_user_day,"Projected United States Instagram advertising revenue per monetizable user per day, derived from annual revenue per ad-reachable user.",0.648,Instagram,United States / 2026,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per active user-year,revenue_per_us_active_user_year,"Projected United States Instagram advertising revenue divided by estimated active Instagram users in the United States, producing revenue per active user per year.",296.93,Instagram,United States / 2026,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per minute,revenue_per_user_minute_73m,"Projected United States Instagram advertising revenue per monetizable user-minute, assuming 73 minutes of daily Instagram use.",0.00887,Instagram,United States / 2026 scenario,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per minute,revenue_per_user_minute_33_9m,"Projected United States Instagram advertising revenue per monetizable user-minute, assuming 33.9 minutes of daily Instagram use.",0.0191,Instagram,United States / 2026 scenario,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per hour,revenue_per_user_hour_73m,"Projected United States Instagram advertising revenue per monetizable user-hour, assuming 73 minutes of daily Instagram use.",0.532,Instagram,United States / 2026 scenario,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
USD,per session,revenue_per_user_session,"Projected United States Instagram advertising revenue per user session, assuming 12 or more app opens per day.",0.054,Instagram,United States / 2026 scenario,derived,exploratory,https://sproutsocial.com/insights/instagram-stats/; https://backlinko.com/instagram-users
